"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-2.94097819348682,0.595961743458392,-4.93484393212926,8.02148760525867e-07,1.09990198362799,-2.67385479548469,0.00749849110052225
"b_powertrainbev_a",-2.09961872729282,0.458109331249581,-4.58322628261185,4.57856099811416e-06,0.69123498556655,-3.03748909001174,0.00238558040078907
"b_powertrainhev_a",-1.27420852078569,0.235862553763747,-5.40233496353138,6.57789687164012e-08,0.481771776288877,-2.64483845567088,0.00817299253369974
"b_range_bev_a",-0.0598120282776352,0.294684236746884,-0.202969893937727,0.839158563566167,0.334129359208021,-0.179008598404541,0.857930950197921
"b_mileage_a",-0.163083347442143,0.0548850483578436,-2.97136200698703,0.00296482077811211,0.0699768587142981,-2.33053255659818,0.0197780213773227
"b_age_a",-0.0119224049185913,0.0308057694296021,-0.387018572798079,0.698742458230827,0.0381619522162782,-0.312416011922622,0.754724383179431
"b_operating_cost_a",-0.550792020843111,0.254978353642076,-2.16015207948311,0.0307608984640051,0.435575831464539,-1.2645146517684,0.206045365186451
"b_price_a",-0.695309379850558,0.151916848703485,-4.5769076029722,4.71899759313388e-06,0.277311579508727,-2.50732184022874,0.0121649890156483
"b_no_choice_b",-3.5852517641097,0.351583419953697,-10.1974426569429,0,0.530002718451115,-6.76459127339436,1.33686395287214e-11
"b_powertrainbev_b",0.0196772126252431,0.17629636284608,0.111614399228547,0.911129154432791,0.199801491413825,0.0984838125381558,0.9215481251926
"b_powertrainhev_b",0.0750519671976581,0.0983982475652584,0.762736827684691,0.445620362539199,0.113544140661932,0.660993748863879,0.508616322451731
"b_range_bev_b",0.0166302686452201,0.0975382315335272,0.170500001730129,0.864616933002487,0.106203863708515,0.156588169813325,0.875569426642727
"b_mileage_b",-0.0321392708021538,0.027522143964527,-1.16776043478218,0.24290341160659,0.0378115660386668,-0.849985180970489,0.395333325229736
"b_age_b",-0.0485522580639241,0.0157313196241227,-3.08634362685461,0.00202634497659826,0.0193055364454482,-2.51493959782566,0.0119052778638067
"b_operating_cost_b",-0.210211771112851,0.115520066825127,-1.81969918205697,0.0688048279596865,0.157241920824145,-1.33686850180332,0.181265564016349
"b_price_b",-0.349484147339675,0.068047755664747,-5.13586589191111,2.80847886058311e-07,0.0996503324518667,-3.50710468034298,0.000453010902103035
"b_no_choice_c",-10.3153663727221,1.36923167409662,-7.5336895631836,4.9293902293357e-14,2.6794524463137,-3.84980386082748,0.000118212449295774
"b_powertrainbev_c",-6.52541641704617,1.94811786312977,-3.34960042230847,0.00080928213684972,4.28536192125795,-1.52272235973261,0.127828181459055
"b_powertrainhev_c",-0.522076595185605,0.259027994083415,-2.01552190153424,0.0438499936069823,0.432226104539537,-1.20787844533774,0.227094021691588
"b_range_bev_c",1.12138877438276,0.863898061888913,1.2980568238929,0.194267809366524,1.74748913399325,0.641714304580669,0.521058699646858
"b_mileage_c",-0.275915035860212,0.0763128757531386,-3.61557644286343,0.000299680023903681,0.119445033757251,-2.30997494982467,0.0208895410202499
"b_age_c",-0.126454044618591,0.0473102016655209,-2.67287054729992,0.00752052656097768,0.0774064569537284,-1.63363690310979,0.102335114291273
"b_operating_cost_c",-1.6419354282903,0.367009594232653,-4.4738215406147,7.68338752732411e-06,0.649804414002376,-2.52681482752178,0.0115102172830859
"b_price_c",-1.68940608249703,0.312065596122961,-5.41362490285974,6.17614770437314e-08,0.641299984153502,-2.63434605370683,0.00842995217544962
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"delta_b",0.608636893819004,0.340647048495534,1.78670825567709,0.0739846540670706,0.414948115137557,1.46677830701132,0.142436372724998
"gamma_EV_benefit_b",0.794055702485239,0.152585043948599,5.20402053790232,1.95022439308801e-07,0.1556813110612,5.10052039690934,3.38720874015763e-07
"gamma_EV_anxiety_b",-0.269626489887982,0.126084861920015,-2.13845251350654,0.0324800342870717,0.142289934971382,-1.89490908083001,0.0581044479176611
"gamma_hhincome_b",0.0286394722304493,0.0280356181395455,1.0215388185093,0.306999227409721,0.0268789866367912,1.06549672491181,0.286651206876038
"gamma_ev_charge_b",0.0735856714892735,0.340596714042983,0.216049270164089,0.828949342320121,0.380859371047303,0.193209559966779,0.846794852030119
"gamma_ev_neighbor_b",0.6170350919585,0.341127399470452,1.80881129137194,0.0704803254987592,0.364035988993503,1.69498376702945,0.0900785002421884
"gamma_knowledge_ev_b",-0.400935800139976,0.342777070288559,-1.16966925413785,0.242134095689511,0.372051166790716,-1.0776361853624,0.281196147169742
"gamma_knowledge_subsidy_b",0.327136734524082,0.407905636260361,0.801991209347435,0.422558043266895,0.468867428258697,0.697716912729508,0.48535424910785
"delta_c",-0.134093248036275,0.459543116260769,-0.291796881057365,0.770441930073355,0.870679485123914,-0.154009885758581,0.877601940876777
"gamma_EV_benefit_c",0.141233283962844,0.170707397530065,0.827341322088691,0.408043628796673,0.202998487190878,0.695735647675263,0.486594396659
"gamma_EV_anxiety_c",0.117910034212623,0.16667427408264,0.707427915085208,0.479300594449748,0.267328230689426,0.441068397110692,0.659163481597216
"gamma_ev_charge_c",0.406147604170516,0.404339708210128,1.00447123031371,0.315151531624461,0.444472576087911,0.913774270946663,0.360835468558456
"gamma_hhincome_c",0.062626960778408,0.0347879651919246,1.80024788552294,0.0718215057546838,0.0502618682443045,1.24601338879807,0.212759479844429
"gamma_ev_neighbor_c",-0.253981335020493,0.444015985867273,-0.572009439084506,0.567315579931216,0.476518021360422,-0.532994186233284,0.594037604781615
"gamma_knowledge_ev_c",-0.958958140820889,0.391287059059681,-2.45077908562937,0.0142547409593206,0.43664483890027,-2.19619712724903,0.0280778369131658
"gamma_knowledge_subsidy_c",0.4773641202343,0.518680691923886,0.920342954089278,0.357393569091607,0.767683709228241,0.621823954964732,0.534057632890734
