"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.82269774437325,0.521499997228934,-9.24774260786069,0,0.884863837659128,-5.45021452919977,5.03090966663677e-08
"b_powertrainbev_a",-4.34370157632225,0.716814796001262,-6.05972644615249,1.36353239810205e-09,1.16447133363203,-3.73019193420079,0.000191333959927098
"b_powertrainhev_a",-3.18777563059055,0.274904100751143,-11.5959551781161,0,0.59348515767157,-5.37128113379819,7.81792151016703e-08
"b_range_bev_a",-0.101846808916744,0.368906751525807,-0.276077378620758,0.782488634964675,0.459087647704214,-0.22184611027122,0.82443368289272
"b_mileage_a",-0.344810147474931,0.0577138606329559,-5.97447725196947,2.30829133585075e-09,0.0799870345457515,-4.31082549107011,1.62646227341856e-05
"b_age_a",-0.111952673933315,0.0321557721090683,-3.4815731854793,0.000498477542265396,0.0452667931064801,-2.47317440115476,0.0133918772442752
"b_operating_cost_a",-0.624994023934595,0.203458474266612,-3.0718505394649,0.00212736214933851,0.227712240571942,-2.74466590976754,0.00605725278323233
"b_price_a",-0.5250955503707,0.0970697953479021,-5.40946386554887,6.32137031608693e-08,0.166609932300945,-3.15164614209331,0.00162352894711471
"b_no_choice_b",-7.30417417294219,0.317619658659421,-22.9966060783862,0,0.497456394881739,-14.6830440780214,0
"b_powertrainbev_b",0.344543080048884,0.182886572354751,1.88391676662059,0.0595762349162592,0.320108813563123,1.07633112694956,0.281779192443831
"b_powertrainhev_b",0.81790304368105,0.100387780247561,8.14743628820225,4.44089209850063e-16,0.183305675570977,4.46196246315544,8.12124543769777e-06
"b_range_bev_b",0.234268901016248,0.0685197689725466,3.41899724019956,0.000628523639281342,0.0949182180142926,2.46811313904958,0.0135827381527509
"b_mileage_b",-0.25143233635934,0.0283678778717324,-8.86327618499387,0,0.0491590362117456,-5.11467180268407,3.1428692448543e-07
"b_age_b",-0.123544373738152,0.0149645508551625,-8.25580232470068,2.22044604925031e-16,0.0221613482302885,-5.57476794526881,2.47860036939329e-08
"b_operating_cost_b",-1.05047315847591,0.105647131819935,-9.94322458527633,0,0.154196695292444,-6.81255299592266,9.58810808526778e-12
"b_price_b",-1.12021143276476,0.0643020602364863,-17.4210815119284,0,0.121640019160928,-9.20923426757059,0
"b_no_choice_c",-9.7493171871142,0.492251082428989,-19.8055779562874,0,0.673593144951057,-14.4735991750964,0
"b_powertrainbev_c",-5.77331488739368,0.705556196636214,-8.18264358660351,2.22044604925031e-16,1.42415921215008,-4.05384091760189,5.03834854213014e-05
"b_powertrainhev_c",-0.131106774444662,0.124345000469978,-1.05437913827759,0.291709369551564,0.265347214736346,-0.494095159713406,0.621238976087055
"b_range_bev_c",0.81773456100184,0.230842260433577,3.54239539790477,0.000396510644980141,0.437493727118577,1.86913436768021,0.0616041226253425
"b_mileage_c",-0.419598344632769,0.0398862775047472,-10.5198672546675,0,0.0659484187560169,-6.36252320446253,1.98466132417252e-10
"b_age_c",-0.158960091571195,0.0217973150798126,-7.29264549276595,3.03979064142368e-13,0.0346717219636844,-4.58471868624498,4.54598071830681e-06
"b_operating_cost_c",-0.736128354044061,0.140255805909359,-5.24846974619924,1.53367820665551e-07,0.23455824400564,-3.13836061130455,0.00169895718598778
"b_price_c",-1.20780028683349,0.0839263209671912,-14.3911978139212,0,0.124883684253072,-9.6714017852479,0
"b_no_choice_d",-5.22500023822121,0.534862651814921,-9.76886350260483,0,1.36466579495083,-3.82877643563233,0.000128781924710886
"b_powertrainbev_d",-2.50169108911805,0.398022875307529,-6.2852947514264,3.27232241303932e-10,0.69278402988055,-3.61106922391008,0.000304937249873349
"b_powertrainhev_d",0.644138438166958,0.210839607545307,3.05511116087873,0.00224977119899106,0.559389009856857,1.1515035633821,0.249525130128307
"b_range_bev_d",0.842062309064041,0.174270105183237,4.83193780240537,1.35210500240568e-06,0.325726610793258,2.5851811953998,0.00973278340772654
"b_mileage_d",-0.153131374482354,0.0480420890167587,-3.18744204543097,0.00143537219894507,0.0998380138826175,-1.53379828511408,0.125079285020978
"b_age_d",-0.0618834454506651,0.0267713726141476,-2.31155295406715,0.020802331782158,0.0516749199694421,-1.19755280680183,0.231091157964745
"b_operating_cost_d",-0.572887717998129,0.174685145646879,-3.2795445535833,0.00103974791207695,0.263058786593982,-2.17779350925978,0.0294214133558868
"b_price_d",-1.74380717883328,0.164784326747243,-10.5823606726145,0,0.501557057136989,-3.4767872448797,0.00050746032412019
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_count_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.0629220037716705,0.44806686261507,-0.140429942541245,0.888320301523268,0.57939352639821,-0.108599770112766,0.913519943100113
"gamma_EV_benefit_b",1.71509721536678,0.153701107236828,11.1586523103187,0,0.19150687288517,8.95579980774464,0
"gamma_EV_anxiety_b",-0.270955419915509,0.103119886477195,-2.62757678632076,0.00859954308160127,0.117808699577045,-2.29996104607121,0.0214504270410387
"gamma_hhincome_b",0.028132184345828,0.0229627402503489,1.22512313596373,0.220528829301992,0.02517847061179,1.11731108610921,0.263861337022117
"gamma_ev_charge_b",0.542645547543998,0.260219831153596,2.08533509970536,0.0370388934702011,0.264512712805754,2.0514913698779,0.0402191192160912
"gamma_ev_neighbor_b",0.88675183978164,0.288333677696385,3.07543623369376,0.00210194869527625,0.309101083931964,2.86880857388654,0.00412021078178615
"gamma_knowledge_ev_b",-0.0984481937115687,0.27826415318383,-0.35379402120305,0.723493254473323,0.290557444427316,-0.33882523266822,0.734741391543024
"gamma_knowledge_subsidy_b",0.20455071015269,0.329816719611613,0.620195090150571,0.535129353609377,0.392185956141389,0.52156561689564,0.601972808075968
"gamma_veh_count_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_b",0.0271929713827766,0.0325030338322674,0.836628713587369,0.40280130048659,0.034061951448238,0.798338622028167,0.424674011015716
