"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.73223253548568,0.5082623479903,-9.31061007016792,0,0.723607549211101,-6.53977772985495,6.16102724393386e-11
"b_powertrainbev_a",-4.09454784167839,0.791078706063068,-5.17590450899073,2.26809446557397e-07,0.96200682067965,-4.25625656041152,2.07878150841889e-05
"b_powertrainhev_a",-1.71681916485567,0.22785869999298,-7.53457807364198,4.90718576884319e-14,0.580171523658574,-2.9591579297608,0.00308480965437719
"b_range_bev_a",0.425897512219526,0.305992473954247,1.39185616795009,0.163965957247475,0.422078720700798,1.00904758124832,0.312951815428912
"b_mileage_a",-0.36238359725079,0.0573108693437059,-6.3231216242332,2.56331400549925e-10,0.0867615450641029,-4.17677666969908,2.95669060923487e-05
"b_age_a",-0.13803761643198,0.0305766355438452,-4.51448022245747,6.34722448755731e-06,0.0396494678174903,-3.48144941231943,0.000498707973849877
"b_operating_cost_a",-0.751890141462908,0.202456220524624,-3.71384064917609,0.000204137362490142,0.241353622023404,-3.11530498344871,0.00183754810132242
"b_price_a",-0.625560810965795,0.103217890753172,-6.06058510207033,1.35627264974403e-09,0.191285335584553,-3.27030197612446,0.00107432731240675
"b_no_choice_b",-6.27937152693423,0.372461141982358,-16.8591319177979,0,0.624512054238017,-10.0548443930291,0
"b_powertrainbev_b",-0.433077327166863,0.303291390029125,-1.42792489798433,0.15331347633464,0.42273043292011,-1.02447634104618,0.305610340056183
"b_powertrainhev_b",1.00465726587054,0.110110891181769,9.12404990176739,0,0.130617917215362,7.69157315695106,1.4432899320127e-14
"b_range_bev_b",0.519357517304171,0.102541702667066,5.06484195011303,4.08739322832474e-07,0.126221685920636,4.11464570066611,3.87774561287912e-05
"b_mileage_b",-0.221133673170918,0.0326110249156436,-6.78094827571148,1.19388943176091e-11,0.0422769120996043,-5.23060134216822,1.68959520818746e-07
"b_age_b",-0.121604690903294,0.0173061079847414,-7.02669202171344,2.11497486191092e-12,0.0196494590973994,-6.18870424374116,6.06607652997582e-10
"b_operating_cost_b",-0.904657957496344,0.126647502692535,-7.14311722113152,9.12381281636954e-13,0.163769617432963,-5.52396697065409,3.31429794719895e-08
"b_price_b",-1.09935195894253,0.0703747140146031,-15.6214057042479,0,0.114439249589758,-9.60642404492771,0
"b_no_choice_c",-8.87243271806243,0.526193279861234,-16.8615469973357,0,0.79093205267968,-11.2176927057168,0
"b_powertrainbev_c",-5.01965389356209,0.693801824031726,-7.23499668016519,4.65627536527791e-13,0.889971011246241,-5.64024426653289,1.69809097894102e-08
"b_powertrainhev_c",-0.0839646214774893,0.145753903612975,-0.576071167880644,0.564567078727438,0.37128098965334,-0.22614845310525,0.821085960462165
"b_range_bev_c",0.577777087093373,0.232178125180142,2.48850784993241,0.0128280405201615,0.272078056771018,2.12357105879962,0.0337060277356247
"b_mileage_c",-0.385168636181675,0.042429022027153,-9.07795225483117,0,0.0592358545699081,-6.50228884141635,7.91069432182212e-11
"b_age_c",-0.139812402024651,0.0229908439282907,-6.08122096173293,1.1927079324181e-09,0.0295053128077467,-4.73855006844541,2.1525284754631e-06
"b_operating_cost_c",-0.632601291229681,0.144477053310762,-4.37855892498714,1.1946664163931e-05,0.197732398119684,-3.19927992198212,0.001377713293361
"b_price_c",-1.10856559336745,0.0931964367921328,-11.8949353808453,0,0.167585246420781,-6.61493548533513,3.71713770874749e-11
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_risk_taking_a",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_positive_a",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_negative_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-1.66099976035821,0.770964886892118,-2.15444281393147,0.0312054620710178,0.832743340457135,-1.99461188059025,0.0460852268120135
"gamma_EV_benefit_b",1.23694987284925,0.174887918245331,7.07281489344545,1.51811896387244e-12,0.230911965558662,5.3568028398035,8.47074663745673e-08
"gamma_EV_anxiety_b",-0.0976414871721142,0.11726817280332,-0.832634165246833,0.40505108433101,0.1378102038555,-0.708521462420123,0.478621488828721
"gamma_hhincome_b",0.020371007939785,0.0230787763966763,0.882672789477642,0.377413087991834,0.0276973303042799,0.73548633445864,0.46204335955735
"gamma_ev_neighbor_b",1.04522328703498,0.303538969205919,3.44345666643515,0.000574328624439069,0.318724691962855,3.27939225730521,0.00104030925682785
"gamma_knowledge_ev_b",0.21794668557865,0.318727913805344,0.683801688332061,0.494100400340404,0.442156855730602,0.492917123762615,0.622071147404398
"gamma_risk_taking_b",0.191880467966181,0.118306227847477,1.621896593758,0.104825491010462,0.120712664840546,1.5895636818195,0.111933188947285
"gamma_evb_environment_positive_b",0.365491896675332,0.141443593664506,2.58401166999653,0.0097658489895851,0.133614197969026,2.73542708956767,0.00622993859986654
"gamma_evb_function_negative_b",-0.149706579781586,0.141414450914972,-1.05863706865149,0.28976509823331,0.151128275813904,-0.990592785998111,0.321884461684642
"delta_c",0.293968877232423,0.657619361887457,0.447019802441176,0.654860762104588,0.771818543611495,0.380878225414076,0.703293610464719
"gamma_EV_benefit_c",0.0954203752267035,0.134131846794515,0.711392391196132,0.476841112698986,0.257943129489933,0.369927958210755,0.711436169209285
"gamma_EV_anxiety_c",0.0730214082750641,0.106399580529639,0.686294136796179,0.492527645534829,0.154662660748892,0.472133402603363,0.636831571749999
"gamma_hhincome_c",0.00525093310057864,0.0216804293625442,0.242196914681511,0.808627585623287,0.0265464286221579,0.197801865377694,0.843200086648853
"gamma_ev_neighbor_c",0.738371870271159,0.289785810807094,2.54799180199572,0.0108345017118359,0.290204941841189,2.54431184247449,0.0109493284332343
"gamma_knowledge_ev_c",-0.261407876232741,0.281023679440747,-0.930198753190327,0.352268187332113,0.462558575698171,-0.565134644489469,0.57198218572821
"gamma_risk_taking_c",0.122985384605862,0.106249383650592,1.15751621684986,0.247061517636171,0.113839646476422,1.08033877838275,0.279991347391062
"gamma_evb_environment_positive_c",0.240078950744254,0.120419963964414,1.99368063932655,0.046186966501794,0.128715334628776,1.86519307459875,0.0621543459372835
"gamma_evb_function_negative_c",-0.303492456875943,0.127228705423869,-2.38540866909588,0.0170601578815379,0.12929111643901,-2.34735738413326,0.018907109765075
