"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.36561697150067,0.603488919027282,-8.89099501636102,0,1.1508593310986,-4.66227003293155,3.1274046456975e-06
"b_powertrainbev_a",-4.43243239286998,0.822785654550693,-5.38710461024074,7.16017636293032e-08,1.29052311077269,-3.4346013301661,0.00059342616043967
"b_powertrainhev_a",-1.72079025953478,0.36657166875099,-4.69428056291961,2.6754663022821e-06,1.82277344071878,-0.944050544677793,0.34514381988173
"b_range_bev_a",0.701013581867191,0.300872534789329,2.32993544046165,0.0198095635383817,0.625808722754733,1.12017227689224,0.262640355387092
"b_mileage_a",-0.378233785913658,0.0646117858995126,-5.85394414730937,4.80049888729184e-09,0.116825474112004,-3.23759684083143,0.00120541020898157
"b_age_a",-0.141380392742281,0.0377022327716468,-3.74992095557278,0.000176890320111145,0.116736208824062,-1.21111002461422,0.225853239904545
"b_operating_cost_a",-0.753161269059158,0.222028929138711,-3.39217628973306,0.000693398115178878,0.282912148478887,-2.6621736574715,0.00776378125766786
"b_price_a",-0.791533542479471,0.13912310168091,-5.68944720837892,1.27451282860847e-08,0.549262699505239,-1.44108373496409,0.149561028028166
"b_no_choice_b",-5.9064361936347,0.423702016032324,-13.9400710172314,0,1.13013442566314,-5.22631295845086,1.72923574792705e-07
"b_powertrainbev_b",-0.603588512563643,0.350194028453689,-1.72358310970875,0.0847831298330337,0.499486940358752,-1.20841700511753,0.22688690203197
"b_powertrainhev_b",1.03985778889018,0.121898889203641,8.53049437680293,0,0.143190925092081,7.26203694976823,3.81250586656279e-13
"b_range_bev_b",0.548263521720921,0.116218045593556,4.71754209013581,2.38711025613014e-06,0.150307615388657,3.64760973888948,0.000264691271774087
"b_mileage_b",-0.212062626989236,0.0361306335718771,-5.8693304275267,4.37558611565692e-09,0.0462093037638393,-4.58917598224415,4.44999156723469e-06
"b_age_b",-0.123964151818025,0.0196420048130088,-6.31117612474691,2.76922929032253e-10,0.0270817646661699,-4.57740303654875,4.70783886474813e-06
"b_operating_cost_b",-0.973424633402407,0.137640526088038,-7.0722240103891,1.52478030202019e-12,0.172320914682069,-5.64890591022205,1.61472197834911e-08
"b_price_b",-0.942086336727272,0.0769414754587252,-12.2441937993852,0,0.132059800305929,-7.13378586477369,9.76552172460288e-13
"b_no_choice_c",-8.92403902945236,0.635855401657753,-14.0346987792921,0,1.82000450789712,-4.90330600321612,9.42370074863419e-07
"b_powertrainbev_c",-4.76680809904689,0.706103877351932,-6.7508595433913,1.46971323999878e-11,0.87043129736322,-5.47637488850284,4.34127460646749e-08
"b_powertrainhev_c",-0.0792244430890018,0.254808792697304,-0.310917226404802,0.755863548304264,1.32146911740648,-0.059951793080483,0.952194029131975
"b_range_bev_c",0.547458615143261,0.245017003240474,2.2343698923048,0.0254587450262225,0.343301334017341,1.59468828372105,0.110781959335722
"b_mileage_c",-0.410667868898389,0.0462628772889678,-8.87683371557868,0,0.072541380303044,-5.66115322293028,1.50359096284802e-08
"b_age_c",-0.162422327211334,0.0271040403138197,-5.99255038476751,2.06575401229259e-09,0.0554570183195387,-2.92879660921311,0.00340277002066447
"b_operating_cost_c",-0.487107095446085,0.162993811212788,-2.9885005560743,0.00280349990186246,0.262751686102654,-1.85386858090714,0.0637579638857444
"b_price_c",-1.08911779640297,0.122639792003247,-8.88062331656704,0,0.469152761572097,-2.32145664613252,0.020262211343633
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_count_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.134723579376133,0.57214971678338,-0.235469100873714,0.813844658610538,1.07374978253036,-0.125470180826158,0.90015133071041
"gamma_EV_benefit_b",1.4974743236958,0.222865728066179,6.71917722248946,1.82753812083547e-11,0.568929256826475,2.6320923132848,0.00848608017528063
"gamma_EV_anxiety_b",-0.112962802715001,0.147502097557106,-0.76583861915094,0.443772332079742,0.413710014134132,-0.273048267761719,0.784816112440054
"gamma_hhincome_b",0.0421831506221255,0.0284158081873118,1.48449589552625,0.137677411241737,0.0506314547300998,0.833141193493066,0.404765103605457
"gamma_ev_charge_b",0.273183372242966,0.317036414978995,0.861678215296073,0.388864616677458,0.345622502325365,0.79040968225441,0.42928854951413
"gamma_ev_neighbor_b",1.20520934144213,0.360336443830997,3.34467790331912,0.000823781784215161,0.409483280500162,2.9432443248233,0.00324791978599781
"gamma_knowledge_ev_b",-0.158348634364848,0.424786868627625,-0.372771961799175,0.709318172413967,1.27668873991831,-0.12403072840995,0.901290945155508
"gamma_knowledge_subsidy_b",0.085389899062613,0.404046408535704,0.211336859476298,0.832624422689888,0.996474195470278,0.0856920324186759,0.93171123603978
"gamma_veh_count_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_b",0.0420948782127516,0.042840063324962,0.982605415249791,0.325801678171666,0.0360174725373985,1.16873492911094,0.242510444449792
"gamma_veh_range_b",-0.207374136621126,0.153341164540467,-1.3523709516788,0.176256677183647,0.260266035622199,-0.796777559259209,0.425580230276875
"delta_c",0.179919844743753,0.570053412199524,0.315619275129923,0.75229150555517,1.68340110897806,0.106878772851098,0.914885153527711
"gamma_EV_benefit_c",0.202259846135097,0.212446081750378,0.952052607742375,0.341070302396147,1.00356102579115,0.201542149343281,0.840274675110674
"gamma_EV_anxiety_c",-0.0300705869537611,0.149489700668241,-0.201154907791915,0.84057744912152,0.602624336005826,-0.0498993903118283,0.960202563160681
"gamma_ev_charge_c",-0.256414043443009,0.304234166020207,-0.842818039792341,0.39933021720335,0.431491246176674,-0.594250858424183,0.552344341150317
"gamma_hhincome_c",0.0323339214463021,0.0268195896875141,1.20560835654228,0.227968535560969,0.0557653825857639,0.579820669150336,0.562035557617592
"gamma_ev_neighbor_c",0.901758206109231,0.34912255333223,2.58292739183511,0.0097965938018223,0.370539222988714,2.43363765605105,0.0149479503850733
"gamma_knowledge_ev_c",-0.53445264580521,0.399946721267029,-1.33630960671978,0.181448097800983,1.54079857266122,-0.346867303285542,0.728691011560536
"gamma_knowledge_subsidy_c",-0.27835768098393,0.412695337528321,-0.674487099008789,0.50000168497193,1.10212250033245,-0.252565101338521,0.800604300908965
"gamma_veh_count_c",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_c",0,NA,NA,NA,NA,NA,NA
