,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice_a,-4.53,0.33,-13.79,0.00,0.43,-10.62,0.00
b_powertrainbev_a,-3.79,0.36,-10.46,0.00,0.49,-7.67,0.00
b_powertrainhev_a,-1.58,0.15,-10.75,0.00,0.30,-5.22,0.00
b_range_bev_a,0.47,0.17,2.73,0.01,0.22,2.11,0.03
b_mileage_a,-0.31,0.04,-8.12,0.00,0.05,-6.49,0.00
b_age_a,-0.11,0.02,-5.12,0.00,0.03,-4.16,0.00
b_operating_cost_a,-0.65,0.14,-4.71,0.00,0.16,-4.03,0.00
b_price_a,-0.83,0.08,-10.89,0.00,0.12,-6.84,0.00
b_no_choice_b,-6.69,0.27,-24.54,0.00,0.42,-15.86,0.00
b_powertrainbev_b,-0.02,0.15,-0.16,0.88,0.21,-0.11,0.91
b_powertrainhev_b,0.86,0.08,11.00,0.00,0.10,8.80,0.00
b_range_bev_b,0.39,0.06,6.64,0.00,0.07,5.61,0.00
b_mileage_b,-0.22,0.02,-9.82,0.00,0.03,-7.50,0.00
b_age_b,-0.10,0.01,-8.33,0.00,0.01,-7.21,0.00
b_operating_cost_b,-1.02,0.09,-11.29,0.00,0.11,-8.87,0.00
b_price_b,-1.20,0.05,-22.08,0.00,0.08,-14.35,0.00
b_no_choice_c,-8.53,0.37,-22.88,0.00,0.50,-17.19,0.00
b_powertrainbev_c,-4.59,0.47,-9.66,0.00,0.78,-5.85,0.00
b_powertrainhev_c,-0.21,0.10,-2.10,0.04,0.20,-1.05,0.30
b_range_bev_c,0.48,0.16,2.93,0.00,0.23,2.06,0.04
b_mileage_c,-0.35,0.03,-11.53,0.00,0.04,-8.27,0.00
b_age_c,-0.12,0.02,-7.53,0.00,0.02,-5.87,0.00
b_operating_cost_c,-0.65,0.10,-6.28,0.00,0.14,-4.71,0.00
b_price_c,-1.14,0.07,-17.30,0.00,0.09,-12.13,0.00
delta_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_benefit_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_anxiety_a,0.00,NA,NA,NA,NA,NA,NA
gamma_budget_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_neighbor_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_ev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_risk_taking_a,0.00,NA,NA,NA,NA,NA,NA
gamma_price_sensitivity_a,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_environment_positive_a,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_function_negative_a,0.00,NA,NA,NA,NA,NA,NA
delta_b,-1.21,0.80,-1.50,0.13,0.87,-1.39,0.16
gamma_EV_benefit_b,1.11,0.12,9.51,0.00,0.12,8.97,0.00
gamma_EV_anxiety_b,-0.26,0.09,-3.04,0.00,0.09,-2.79,0.01
gamma_budget_b,0.08,0.08,1.05,0.29,0.09,0.85,0.40
gamma_ev_neighbor_b,0.70,0.21,3.41,0.00,0.21,3.29,0.00
gamma_knowledge_ev_b,-0.22,0.22,-1.03,0.30,0.22,-1.02,0.31
gamma_risk_taking_b,0.22,0.08,2.76,0.01,0.08,2.84,0.00
gamma_price_sensitivity_b,-0.04,0.14,-0.27,0.79,0.15,-0.25,0.80
gamma_evb_environment_positive_b,0.25,0.10,2.53,0.01,0.10,2.51,0.01
gamma_evb_function_negative_b,-0.01,0.10,-0.11,0.91,0.10,-0.10,0.92
delta_c,0.32,0.71,0.45,0.65,0.76,0.42,0.67
gamma_EV_benefit_c,0.04,0.09,0.44,0.66,0.12,0.34,0.73
gamma_EV_anxiety_c,0.06,0.08,0.75,0.46,0.08,0.71,0.48
gamma_budget_c,0.15,0.07,2.00,0.05,0.10,1.47,0.14
gamma_ev_neighbor_c,0.48,0.20,2.38,0.02,0.21,2.27,0.02
gamma_knowledge_ev_c,-0.54,0.20,-2.76,0.01,0.20,-2.68,0.01
gamma_risk_taking_c,0.10,0.08,1.32,0.19,0.08,1.33,0.18
gamma_price_sensitivity_c,-0.17,0.13,-1.34,0.18,0.14,-1.22,0.22
gamma_evb_environment_positive_c,0.22,0.09,2.40,0.02,0.10,2.26,0.02
gamma_evb_function_negative_c,-0.07,0.09,-0.77,0.44,0.09,-0.75,0.46
