"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.51737873091552,0.489334257357451,-9.2316829712898,0,0.692369549220257,-6.52451965283998,6.8219874194142e-11
"b_powertrainbev_a",-3.40830029903515,0.508835001873889,-6.69824262576944,2.1094015423273e-11,0.709106611415987,-4.80647090883732,1.53617823994701e-06
"b_powertrainhev_a",-1.59422618508932,0.210866954323468,-7.56034149686532,4.01900734914307e-14,0.433872088956949,-3.67441516904652,0.000238394830773148
"b_range_bev_a",0.3150293267295,0.356835905030515,0.882840886492519,0.377322246139171,0.456307045294793,0.69038891680048,0.489949644660042
"b_mileage_a",-0.277676205360545,0.051817538949093,-5.35873009394256,8.38089504462403e-08,0.0623403037628049,-4.45420039044179,8.42064259720665e-06
"b_age_a",-0.084656140708273,0.0291973177157687,-2.89944924161826,0.0037381886537402,0.0373864992949535,-2.2643505624957,0.0235525620409938
"b_operating_cost_a",-0.531157236316052,0.211988375948964,-2.50559604477525,0.0122245192571102,0.273450377082561,-1.94242641748372,0.0520854997895821
"b_price_a",-1.0643896170829,0.145526359384165,-7.3140675104301,2.59126053947512e-13,0.255466126116659,-4.16646086611437,3.09364970558779e-05
"b_no_choice_b",-7.07927507550489,0.420660616656518,-16.8289466500861,0,0.644319972678656,-10.9872041465267,0
"b_powertrainbev_b",-0.0821407653033224,0.207924978847326,-0.395050011589209,0.692805979503749,0.286652714012246,-0.286551500432726,0.774455754658937
"b_powertrainhev_b",0.66800244796289,0.124647360861239,5.35913831907382,8.36198175147018e-08,0.182761506081696,3.65505002822797,0.000257131831499668
"b_range_bev_b",0.459392455091457,0.117876855452392,3.89722353322358,9.73018012708771e-05,0.156101949774616,2.94290017360283,0.00325153247621857
"b_mileage_b",-0.204781092993415,0.0331888056452605,-6.17018566989794,6.82098377779994e-10,0.0460852691514785,-4.44352602824811,8.84964447811498e-06
"b_age_b",-0.0861095262232536,0.0183996712383214,-4.67994917452173,2.86946042726832e-06,0.0220953407383417,-3.89718028081048,9.73191744155777e-05
"b_operating_cost_b",-1.2515314842518,0.142499241506905,-8.78272383078725,0,0.180716004041558,-6.92540481342201,4.34741131982719e-12
"b_price_b",-1.31200158108668,0.0940122307536091,-13.9556477978405,0,0.147144128664508,-8.9164385490234,0
"b_no_choice_c",-8.70089731704964,0.668525831774849,-13.0150502845191,0,0.983157482443372,-8.8499528025011,0
"b_powertrainbev_c",-5.21191092414828,0.940103093092532,-5.54397806202653,2.95675897099557e-08,2.02351313036446,-2.57567437835679,0.0100044812510014
"b_powertrainhev_c",-0.185283830392358,0.177173645884019,-1.04577534354996,0.295664767484819,0.360444955145275,-0.514041957717735,0.607222656226729
"b_range_bev_c",0.974982817319371,0.408618607887148,2.38604605492817,0.0170306181444089,0.819586222961253,1.18960371710087,0.234202184199278
"b_mileage_c",-0.31172151580173,0.0477145335628472,-6.53305172502935,6.44428954643672e-11,0.0727861762801133,-4.28270217962938,1.84637231963602e-05
"b_age_c",-0.103095316459315,0.0257839966143662,-3.99842266508338,6.37660083424585e-05,0.0346395501810357,-2.97623138639246,0.00291814596079476
"b_operating_cost_c",-0.942342582666279,0.198604677885426,-4.74481564432189,2.0869631687237e-06,0.334655597585334,-2.81585782358232,0.00486471899469021
"b_price_c",-1.37350677650736,0.131329282835547,-10.4584959793567,0,0.208019321955313,-6.60278460479946,4.03506117407915e-11
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_risk_taking_a",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_positive_a",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_negative_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-1.33252195680835,0.80921513051395,-1.64668443107588,0.0996229259455323,0.945892872326524,-1.40874510823924,0.158910551504332
"gamma_EV_benefit_b",1.09634832466794,0.173727336178617,6.31074158381579,2.77701639461725e-10,0.197447874910536,5.55259622401456,2.81457690487485e-08
"gamma_EV_anxiety_b",-0.432036181439278,0.129776923365499,-3.32906783606286,0.00087137178113772,0.152567283276566,-2.83177475642733,0.00462904444559165
"gamma_hhincome_b",0.065896860424199,0.0272457470641349,2.41861088518078,0.0155798962557447,0.0275680050478707,2.39033837630876,0.0168328561600091
"gamma_ev_neighbor_b",0.426717708042374,0.302017869607245,1.41288894129772,0.157688381175535,0.322529120079697,1.32303622053392,0.185823332870485
"gamma_knowledge_ev_b",-0.763710988176013,0.336504272039798,-2.26954321722753,0.0232353122171967,0.339695113240627,-2.24822482987863,0.0245618571563944
"gamma_risk_taking_b",0.33422437596173,0.122090559306068,2.7375120391075,0.00619058541467665,0.122693978080917,2.72404873645312,0.00644869896155775
"gamma_evb_environment_positive_b",0.0931262292347766,0.152100694885286,0.612266954500188,0.540361149458065,0.17013344687484,0.547371671740041,0.584123413179928
"gamma_evb_function_negative_b",0.106382273225362,0.141343666624239,0.752649734976657,0.451660422530956,0.15203793186691,0.699708762932176,0.484109202824328
"delta_c",-0.988563290260792,0.791141305221723,-1.2495407378379,0.211467363120576,0.942927405000581,-1.04839808984042,0.294455233256653
"gamma_EV_benefit_c",0.150941153225819,0.148903666619614,1.01368325342457,0.31073391748661,0.203374458493776,0.742183430228717,0.457976206450817
"gamma_EV_anxiety_c",0.0727780745188623,0.129292350038047,0.562895441976619,0.57350608414871,0.158791593587271,0.458324479745609,0.646719339427305
"gamma_hhincome_c",0.0782074581034689,0.0274923130286948,2.84470273642821,0.00444528869679339,0.0306811464372111,2.54903962808301,0.0108020025068294
"gamma_ev_neighbor_c",0.30884922480345,0.313818201562767,0.984166065784037,0.325033867709114,0.350023232583607,0.882367786057395,0.377577950296416
"gamma_knowledge_ev_c",-0.946771666638017,0.315768704634827,-2.99830747234093,0.00271483625973379,0.335239087701561,-2.82416848562975,0.00474034587063787
"gamma_risk_taking_c",0.128942971385076,0.116856541970668,1.10342963440969,0.269840633336506,0.125174407256383,1.0301065066837,0.302960011149852
"gamma_evb_environment_positive_c",0.154864211614541,0.146176441132135,1.05943345189635,0.289402421700547,0.153367675322382,1.00975783383958,0.312611326570479
"gamma_evb_function_negative_c",0.169258518281235,0.141005453941807,1.20036859248783,0.229996221058413,0.152102717517037,1.11279088923757,0.265798249212355
