"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.00294063713774,0.393978984283029,-12.698496205939,0,0.532938258025579,-9.38746761336398,0
"b_powertrainbev_a",-4.29765498300835,0.501787621117598,-8.56468912771597,0,0.829388797281462,-5.18171332563815,2.19856945538055e-07
"b_powertrainhev_a",-1.82653846174599,0.184889023792837,-9.87910706799215,0,0.410633292408824,-4.44810125119493,8.66326933479655e-06
"b_range_bev_a",0.708865145406881,0.198467208125137,3.57169908370924,0.000354672789531829,0.282739597187141,2.50713077495719,0.0121715670231102
"b_mileage_a",-0.32566754135017,0.0453799851842294,-7.17645763937683,7.15427717068451e-13,0.0583531476178397,-5.58097642792121,2.39172059934845e-08
"b_age_a",-0.0943412414880895,0.0237527979504284,-3.9717948885423,7.13331274502238e-05,0.0292381318715449,-3.22665079638361,0.0012524821480604
"b_operating_cost_a",-0.627600672902819,0.161562738181852,-3.88456323509697,0.000102514009720389,0.205460571621258,-3.05460394639477,0.002253579051406
"b_price_a",-0.916118434682819,0.0877573498191045,-10.4392217469104,0,0.140011029113498,-6.54318763659811,6.02211613909276e-11
"b_no_choice_b",-6.20319322724623,0.312217154939039,-19.8682011193697,0,0.514251793138299,-12.0625602283082,0
"b_powertrainbev_b",0.0509032362917492,0.176878523288694,0.287786416040272,0.77351023611899,0.24305837966408,0.20942802450218,0.834114117406924
"b_powertrainhev_b",0.939558964831661,0.0951460436937847,9.87491364176434,0,0.122708143678528,7.65685908584133,1.90958360235527e-14
"b_range_bev_b",0.372006543414713,0.0664238121047665,5.60049975493681,2.13734709930691e-08,0.0759181237400368,4.90010191358995,9.5786955078836e-07
"b_mileage_b",-0.217763084992334,0.0267652447057756,-8.13603938189828,4.44089209850063e-16,0.0359578060823219,-6.0560726228343,1.3948504573591e-09
"b_age_b",-0.113643942557266,0.0146657449448122,-7.74893760834606,9.32587340685131e-15,0.0172819152016557,-6.57588821789721,4.83635353987211e-11
"b_operating_cost_b",-0.975103189514774,0.103598342383157,-9.41234354801134,0,0.133141526076042,-7.323809620132,2.40918396343659e-13
"b_price_b",-1.06436794210027,0.0625298259819869,-17.0217640203715,0,0.0967307611656723,-11.0034070783059,0
"b_no_choice_c",-8.67370069464474,0.451747611404973,-19.2003244193562,0,0.607054044127614,-14.2881853412402,0
"b_powertrainbev_c",-4.09876378202298,0.553569682054343,-7.40424180531731,1.31894495325469e-13,0.99944809087027,-4.10102717636289,4.11320245217173e-05
"b_powertrainhev_c",-0.0866184823357681,0.120346363861749,-0.719743244052422,0.471683095454017,0.247533180463724,-0.349926753954757,0.726393668096179
"b_range_bev_c",0.388926873614276,0.19082418958179,2.03814240986244,0.0415356929304671,0.310300425291637,1.25338814230996,0.210064484712066
"b_mileage_c",-0.346192751552479,0.0351069554977153,-9.86108725876299,0,0.0489442658222432,-7.07320348434257,1.51390011637886e-12
"b_age_c",-0.138769121425317,0.0196752603946699,-7.05297508859958,1.75126579904372e-12,0.0267517719736051,-5.1872870911966,2.13379654390167e-07
"b_operating_cost_c",-0.570672850535023,0.122239830962858,-4.66846891099204,3.03452684913275e-06,0.1698608675773,-3.35964874473116,0.000780416273099771
"b_price_c",-1.18601948541706,0.0811728820217516,-14.6110308748093,0,0.117208495276988,-10.1188867122153,0
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_count_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.56576735260969,0.400531030341358,-1.41254312338174,0.157790102579269,0.440637353356321,-1.28397501550937,0.199150697533645
"gamma_EV_benefit_b",1.36551275801601,0.143263761015366,9.53145965412392,0,0.159344043680088,8.56958770769947,0
"gamma_EV_anxiety_b",-0.257405727814982,0.10017707776356,-2.56950725217317,0.0101843260111514,0.114271481143581,-2.25258065476157,0.0242856020075604
"gamma_hhincome_b",0.0334878389832141,0.0201620449313652,1.66093464711601,0.0967265728291935,0.0218966246987085,1.52936077792799,0.126175030128132
"gamma_ev_charge_b",0.170312024488479,0.233666689409499,0.728867366242386,0.46608279859245,0.235987715501974,0.721698687265162,0.470479749356894
"gamma_ev_neighbor_b",0.726652934578362,0.249140483987002,2.9166393311505,0.00353824652351209,0.255171102981569,2.8477085613838,0.00440352299967373
"gamma_knowledge_ev_b",-0.308837722338552,0.271970247449248,-1.13555701491276,0.256142007449312,0.296481937716063,-1.04167466226668,0.297562540109477
"gamma_knowledge_subsidy_b",0.412102926172505,0.283182383707266,1.45525622313607,0.145598341076485,0.335742929075723,1.22743590552151,0.219658798116627
"gamma_veh_count_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_b",0.0573182136296377,0.032191446224645,1.7805417386236,0.0749873449006324,0.0319667092002016,1.79305956301802,0.0729634005419131
"gamma_veh_range_b",0.0617556801685474,0.103991793450243,0.593851477310041,0.552611455377032,0.10770550935521,0.573375313280202,0.566390601652024
"delta_c",-0.0636440622970364,0.377828387744746,-0.168447010233739,0.866231627604958,0.46133393610852,-0.137956602182557,0.890274715950413
"gamma_EV_benefit_c",0.222647629511387,0.109234614454119,2.0382516167062,0.0415247758470361,0.170659645665699,1.30462962490574,0.192018995566403
"gamma_EV_anxiety_c",-0.0472155849967399,0.0904779968302381,-0.521846047114963,0.601777525995667,0.106676390859972,-0.44260575949478,0.658050918136659
"gamma_ev_charge_c",-0.12557079697241,0.224888587763694,-0.558368916009007,0.576592494116087,0.230500704425132,-0.544774026984358,0.585908944167313
"gamma_hhincome_c",0.0340167078144477,0.0195564485434612,1.73941131176506,0.08196243993876,0.0219660619526041,1.54860292608867,0.121477202109982
"gamma_ev_neighbor_c",0.522504404486435,0.245809208711425,2.12565024404698,0.0335323927246183,0.257570261370145,2.02858979801073,0.0425000885436955
