,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
asc_no_choice,0.00,NA,NA,NA,NA,NA,NA
b_mileage_a,-0.18,0.08,-2.23,0.03,0.11,-1.70,0.09
b_mileage_b,-0.04,0.03,-1.62,0.11,0.03,-1.37,0.17
b_range_year0_a,0.75,0.13,5.81,0.00,0.16,4.67,0.00
b_range_year0_b,0.93,0.05,18.80,0.00,0.06,16.37,0.00
b_degradation_a,-0.25,0.05,-4.88,0.00,0.08,-3.14,0.00
b_degradation_b,-0.22,0.02,-14.13,0.00,0.02,-9.61,0.00
b_packreplace_a,-1.35,0.28,-4.87,0.00,0.45,-2.97,0.00
b_packreplace_b,0.00,0.09,-0.01,0.99,0.12,-0.01,0.99
b_cellreplace_a,-1.29,0.26,-5.01,0.00,0.37,-3.49,0.00
b_cellreplace_b,-0.10,0.08,-1.24,0.22,0.10,-0.98,0.33
b_price_a,-0.36,0.10,-3.73,0.00,0.12,-2.94,0.00
b_price_b,-0.01,0.04,-0.32,0.75,0.06,-0.25,0.80
delta_a,0.00,NA,NA,NA,NA,NA,NA
delta_b,-0.14,1.03,-0.14,0.89,1.16,-0.12,0.90
gamma_used_bev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EVB_environ_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EVB_function_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_benefit_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_anxiety_a,0.00,NA,NA,NA,NA,NA,NA
gamma_used_bev_b,0.52,0.18,2.97,0.00,0.20,2.66,0.01
gamma_EVB_environ_b,0.42,0.20,2.06,0.04,0.24,1.78,0.08
gamma_EVB_function_b,-0.29,0.20,-1.50,0.13,0.23,-1.28,0.20
gamma_EV_benefit_b,0.09,0.22,0.41,0.69,0.27,0.33,0.74
gamma_EV_anxiety_b,-0.34,0.17,-1.95,0.05,0.18,-1.88,0.06
