"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_no_choice",0,NA,NA,NA,NA,NA,NA
"b_mileage_a",-0.0965850686031891,0.15754954538194,-0.613045682671077,0.539846134065873,0.255850795598666,-0.377505445614072,0.705798018236867
"b_range_year0_a",1.22403371917776,0.273028064274818,4.48317912822947,7.35391478223768e-06,0.360067292198217,3.39945822822454,0.000675194924878442
"b_degradation_a",-0.0926164044919226,0.0727730018409556,-1.27267533493169,0.203133273556849,0.0967707247614894,-0.957070485109976,0.338531679694885
"b_packreplace_a",-3.25692127924876,0.585761214344228,-5.56015181526648,2.69540081365705e-08,0.927125960310859,-3.51292210408684,0.000443207393031164
"b_cellreplace_a",-2.84009483204742,0.536257826513745,-5.2961368424422,1.18278215444079e-07,0.810524352674664,-3.50402159130116,0.000458288198802448
"b_price_a",-0.284224217353729,0.217140189880663,-1.3089433950939,0.190553525610434,0.497687933706058,-0.571089227012676,0.567939160801144
"b_mileage_b",-0.045249912891131,0.0289024519875702,-1.56560809825378,0.117440392956297,0.0353368311461016,-1.28053114621522,0.200358398009225
"b_range_year0_b",0.941319233088516,0.0526580340672794,17.8760800656899,0,0.0634260976008525,14.8411973729228,0
"b_degradation_b",-0.234939304778945,0.0170193573467778,-13.8042406650228,0,0.0251507858833331,-9.34123115948574,0
"b_packreplace_b",0.135859483079952,0.0938834127247081,1.44710848420401,0.147866542179577,0.111242634182603,1.22128969776947,0.221976352683582
"b_cellreplace_b",0.0200909633761744,0.0893058347262761,0.224968093493035,0.822004095749948,0.104467359631367,0.192318092915042,0.847493046830502
"b_price_b",-0.00785744226292222,0.0554935939067766,-0.141591879526165,0.887402381505876,0.0914611706900985,-0.0859101431092098,0.931537848288951
"b_mileage_c",-0.322001242266826,0.105629642913999,-3.048398473987,0.00230064637499439,0.128378919607179,-2.50820962859092,0.0121344654901099
"b_range_year0_c",0.602546833358919,0.190625207751836,3.16089797600819,0.0015728357852578,0.324939080082013,1.85433784451793,0.0636908410715904
"b_degradation_c",-0.377190187540616,0.0650389920941524,-5.79944699934132,6.65339627836659e-09,0.0856542076649548,-4.40363874494099,1.06450150043624e-05
"b_packreplace_c",-0.292939979707252,0.388596364048212,-0.753841278018,0.450944534592066,0.707835408523438,-0.413853243536279,0.67898158798769
"b_cellreplace_c",-0.418274410559054,0.40610082935812,-1.02997674548012,0.303020922019199,0.755436662984351,-0.553685611321354,0.579794024202777
"b_price_c",-0.186582186327089,0.143691105056349,-1.29849503387089,0.194117281736374,0.23013016293886,-0.810768062492787,0.417498878530336
"delta_a",0,NA,NA,NA,NA,NA,NA
"delta_b",2.06247238786657,0.33663026097452,6.12681813541024,8.96538399075553e-10,0.475556912257982,4.33696227455467,1.44465408211669e-05
"delta_c",0.229512855491757,0.399181288987478,0.574958951793345,0.565319058631205,0.546951818449029,0.419621706611339,0.674761828553345
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_a",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_function_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_b",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_b",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_function_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_b",0.570310119042837,0.241669593416997,2.35987536114556,0.0182810759906349,0.342472596229917,1.66527227381417,0.0958584474889561
"gamma_EV_anxiety_b",-0.353797631404681,0.218563251076736,-1.61874253636749,0.105502670618817,0.306404751883987,-1.1546741009377,0.248223909189516
"gamma_used_bev_c",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_c",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_function_c",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_c",-0.033606692401707,0.276117730399292,-0.121711461097078,0.903127536082423,0.373458067865811,-0.089987860200097,0.928296861844227
"gamma_EV_anxiety_c",0.0831600780588071,0.252758869164992,0.329009535188746,0.742148480869142,0.329289103254159,0.252544275644071,0.800620395837853
