"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-2.82106979332609,0.611313322650674,-4.61476903708535,3.93532700404542e-06,1.24687719344449,-2.2625081348492,0.0236660268091942
"b_mileage_a",-0.202159555674218,0.0697674190466621,-2.89762124551303,0.00376004370382899,0.105538869629435,-1.91549858724122,0.0554289491409523
"b_range_year0_a",2.46696174459563,0.348724916676565,7.07423423627536,1.50279788613261e-12,0.589333720046529,4.18601831302111,2.83890454064739e-05
"b_degradation_a",-0.433170544955766,0.0592347375189716,-7.31277900601874,2.61568544601687e-13,0.12384670703493,-3.49763473996601,0.000469403532094681
"b_packreplace_a",-0.639384836362858,0.214239648126933,-2.98443748369132,0.00284100249954466,0.346003512496893,-1.84791429355388,0.0646147424301138
"b_cellreplace_a",-0.653336479954881,0.244432371017846,-2.67287216187573,0.00752049036617453,0.44803062467706,-1.45824067367226,0.144774216274845
"b_price_a",-1.32402835551977,0.266511884687148,-4.96798991562426,6.76504798624578e-07,0.584761396839279,-2.26421983851249,0.0235605970090023
"b_no_choice_b",1.00287086098402,0.711049122651805,1.41041009549929,0.158418626141084,0.819897786589169,1.22316571332145,0.221267112766575
"b_mileage_b",-0.219877537254886,0.13399442660687,-1.64094539469161,0.100808750747991,0.18373975334711,-1.19667917937991,0.231431625339304
"b_range_year0_b",1.08413184596552,0.330452320683795,3.28075119497468,0.00103531028287462,0.540292003022009,2.00656652310538,0.0447958388651177
"b_degradation_b",-0.304644540734901,0.0830648990679055,-3.66754843686567,0.000244887171073849,0.115256507858976,-2.64318732533224,0.00821295827546886
"b_packreplace_b",-0.413184258590592,0.350783148220171,-1.17789084420685,0.238840125641641,0.429201328642049,-0.962681685767065,0.335707290259991
"b_cellreplace_b",-0.962232494720522,0.407827105187635,-2.35941280626214,0.0183038817658767,0.455809939950642,-2.11103885717086,0.0347689720994906
"b_price_b",-0.698473326679283,0.246292704805249,-2.83594809367816,0.00456898710658216,0.310606291653487,-2.24874172046232,0.024528933172423
"b_no_choice_c",-3.47997810617248,0.384784988437897,-9.04395496378398,0,0.762900961074955,-4.56150704184337,5.07877725808292e-06
"b_mileage_c",-0.0229201732456853,0.0354787200955752,-0.646025932839213,0.518262560895806,0.0489704411963557,-0.468040979124178,0.639755284950688
"b_range_year0_c",-0.0975790929946325,0.109308106796239,-0.892697676820342,0.372019094821974,0.151291771156938,-0.644972904001578,0.518944745136319
"b_degradation_c",-0.133284155488248,0.0258441807205315,-5.15722115278211,2.50641708721133e-07,0.0564000673509743,-2.36319142420219,0.0181183082478245
"b_packreplace_c",-0.104944708460621,0.116366711599111,-0.90184475455628,0.367139341812472,0.15558449871269,-0.674519051248268,0.499981377808141
"b_cellreplace_c",0.0281628370479565,0.117701813321764,0.239272754201052,0.810894090868715,0.173743655883372,0.162094189308767,0.871231681945727
"b_price_c",-0.438247387354641,0.0892978849801125,-4.9077017608227,9.21498388928299e-07,0.167948430309151,-2.60941639375811,0.00906968057721236
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"delta_b",0.240029169164358,0.450211042820873,0.533148115737932,0.59393105407863,0.510639857806626,0.470055686987236,0.638315232481527
"gamma_EV_benefit_b",-1.13616692593291,0.199410640950019,-5.69762436207047,1.21488359372535e-08,0.222220387594511,-5.11279337702396,3.17429448948303e-07
"gamma_EV_anxiety_b",-0.068448285682231,0.178828368092294,-0.382759661749554,0.701897973157648,0.245465062488274,-0.278851438116579,0.780358837534978
"gamma_hhincome_b",-0.0601448584466483,0.0345513200744265,-1.74073981304017,0.0817291961896984,0.0365252851574671,-1.64666362459192,0.0996272048869096
"gamma_ev_charge_b",0.195341670854628,0.419118048281896,0.466077926387085,0.641159722688536,0.612430614170025,0.318961309795654,0.74975585187235
