,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice_a,-4.77,0.37,-13.06,0.00,0.64,-7.50,0.00
b_mileage_a,-0.17,0.04,-4.48,0.00,0.05,-3.69,0.00
b_range_year0_a,1.87,0.17,11.28,0.00,0.31,6.11,0.00
b_degradation_a,-0.50,0.03,-15.75,0.00,0.04,-11.51,0.00
b_packreplace_a,-0.19,0.12,-1.54,0.12,0.16,-1.17,0.24
b_cellreplace_a,-0.18,0.12,-1.52,0.13,0.15,-1.23,0.22
b_price_a,-1.52,0.11,-13.41,0.00,0.16,-9.72,0.00
b_no_choice_b,-0.05,0.53,-0.10,0.92,0.66,-0.08,0.94
b_mileage_b,-0.17,0.08,-2.03,0.04,0.10,-1.59,0.11
b_range_year0_b,1.42,0.24,5.86,0.00,0.36,3.93,0.00
b_degradation_b,-0.38,0.06,-6.48,0.00,0.07,-5.36,0.00
b_packreplace_b,-0.94,0.27,-3.52,0.00,0.33,-2.83,0.00
b_cellreplace_b,-1.01,0.26,-3.90,0.00,0.26,-3.87,0.00
b_price_b,-1.14,0.24,-4.79,0.00,0.39,-2.95,0.00
b_no_choice_c,-3.09,0.37,-8.27,0.00,0.72,-4.29,0.00
b_mileage_c,-0.10,0.04,-2.89,0.00,0.05,-2.03,0.04
b_range_year0_c,-0.17,0.10,-1.76,0.08,0.13,-1.38,0.17
b_degradation_c,-0.06,0.03,-2.24,0.03,0.05,-1.24,0.22
b_packreplace_c,-0.22,0.12,-1.91,0.06,0.16,-1.36,0.17
b_cellreplace_c,-0.20,0.11,-1.84,0.07,0.15,-1.35,0.18
b_price_c,-0.36,0.09,-3.82,0.00,0.18,-2.01,0.04
delta_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_benefit_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_anxiety_a,0.00,NA,NA,NA,NA,NA,NA
gamma_hhincome_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_charge_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_neighbor_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_ev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_subsidy_a,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_environment_disagree_a,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_environment_agree_a,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_function_disagree_a,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_function_agree_a,0.00,NA,NA,NA,NA,NA,NA
delta_b,-0.26,0.38,-0.69,0.49,0.46,-0.57,0.57
gamma_EV_benefit_b,-0.90,0.15,-5.84,0.00,0.17,-5.22,0.00
gamma_EV_anxiety_b,0.01,0.12,0.08,0.93,0.14,0.07,0.94
gamma_hhincome_b,-0.04,0.03,-1.37,0.17,0.03,-1.34,0.18
gamma_ev_charge_b,-0.06,0.30,-0.21,0.83,0.31,-0.20,0.84
gamma_ev_neighbor_b,-0.22,0.32,-0.69,0.49,0.35,-0.64,0.53
gamma_knowledge_ev_b,0.26,0.31,0.83,0.40,0.33,0.79,0.43
gamma_knowledge_subsidy_b,-0.52,0.34,-1.52,0.13,0.35,-1.49,0.14
gamma_evb_environment_disagree_b,0.91,0.50,1.82,0.07,0.54,1.71,0.09
gamma_evb_environment_agree_b,-0.58,0.30,-1.96,0.05,0.31,-1.85,0.06
gamma_evb_function_disagree_b,-0.90,0.38,-2.37,0.02,0.38,-2.35,0.02
gamma_evb_function_agree_b,0.13,0.31,0.42,0.68,0.34,0.38,0.70
delta_c,0.50,0.41,1.22,0.22,0.63,0.80,0.42
gamma_EV_benefit_c,-0.37,0.16,-2.26,0.02,0.17,-2.13,0.03
gamma_EV_anxiety_c,-0.35,0.12,-2.87,0.00,0.14,-2.56,0.01
gamma_hhincome_c,-0.02,0.02,-0.76,0.44,0.03,-0.66,0.51
gamma_ev_charge_c,-0.28,0.29,-0.97,0.33,0.30,-0.94,0.35
gamma_ev_neighbor_c,0.50,0.30,1.70,0.09,0.30,1.65,0.10
gamma_knowledge_ev_c,-0.49,0.31,-1.58,0.11,0.36,-1.38,0.17
gamma_knowledge_subsidy_c,-0.50,0.35,-1.43,0.15,0.43,-1.18,0.24
gamma_evb_environment_disagree_c,1.19,0.54,2.19,0.03,0.62,1.93,0.05
gamma_evb_environment_agree_c,-0.35,0.31,-1.15,0.25,0.37,-0.97,0.33
gamma_evb_function_disagree_c,-1.27,0.37,-3.46,0.00,0.39,-3.29,0.00
gamma_evb_function_agree_c,0.03,0.32,0.09,0.93,0.37,0.08,0.94
