"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-3.55786298672149,0.664760767106978,-5.35209531423646,8.69415801574291e-08,1.22481583264002,-2.90481466021934,0.00367470627948707
"b_powertrainbev_a",-2.79687262190539,0.61610996979766,-4.53956721853393,5.63698084121711e-06,1.13832767995272,-2.45700132849405,0.0140102168565766
"b_powertrainhev_a",-1.66360349942883,0.29139978984635,-5.70900720383506,1.13637081966544e-08,0.586622305677725,-2.83590222077708,0.00456964339655985
"b_range_bev_a",0.12111055265177,0.350594965486771,0.345442931513915,0.729761406566492,0.420916391111236,0.28773066387848,0.773552915774064
"b_mileage_a",-0.137702346313896,0.061703192295524,-2.23168917508154,0.0256355131873987,0.0899644207528018,-1.53063116687279,0.125860574402868
"b_age_a",0.000852722031178922,0.0331310687903897,0.025737836487372,0.979466444691767,0.037920909553826,0.022486855964479,0.982059596771154
"b_operating_cost_a",-0.582533419196346,0.264401108866642,-2.20321851785487,0.0275793507411792,0.321999654356998,-1.80911193945102,0.0704336145773201
"b_price_a",-0.910538143064164,0.177099753151214,-5.14138572675884,2.7271950497898e-07,0.327562836372997,-2.77973580014837,0.00544031401113876
"b_no_choice_b",-3.38370215870358,0.399673980506452,-8.46615572626441,0,0.8151221473605,-4.15115963866344,3.30794924821021e-05
"b_powertrainbev_b",0.00271903209829386,0.191089087674049,0.0142291332874636,0.988647177335279,0.287319829592142,0.00946343349205516,0.99244938522587
"b_powertrainhev_b",-0.0223931190146331,0.106449230164574,-0.210364311512752,0.833383344700359,0.172819279549707,-0.129575352200171,0.896902404911608
"b_range_bev_b",-0.0509403151341607,0.104714483042143,-0.486468668461645,0.626634914399338,0.156580884486049,-0.325329080247337,0.744932024032342
"b_mileage_b",-0.0139751205407692,0.0283690705574967,-0.492618202363919,0.622282384106974,0.0381580796411963,-0.366242763581881,0.714183934837179
"b_age_b",-0.0350472603688389,0.0161368260516248,-2.1718806571203,0.0298646658186807,0.0241317673106377,-1.45232878792882,0.146410206574147
"b_operating_cost_b",-0.087482994498924,0.118026631242156,-0.741214025836548,0.458563680446499,0.131013009736444,-0.667742804129999,0.50429778186401
"b_price_b",-0.374688199148911,0.067246162045943,-5.57188972201747,2.51990919242218e-08,0.0969926480088655,-3.86305773520755,0.000111976529285407
"b_no_choice_c",-10.3666887604684,1.43488700545539,-7.22474224176163,5.02042851735496e-13,3.45111104545964,-3.00386994910147,0.002665692445037
"b_powertrainbev_c",-6.94859228626873,1.43088718376158,-4.85614265409936,1.19694486078181e-06,2.77747928902751,-2.50176205227499,0.0123576949762327
"b_powertrainhev_c",0.159154276353005,0.383583499235675,0.414914292898769,0.678204646286549,1.1136009340345,0.142918590932211,0.886354475856385
"b_range_bev_c",1.81382530218961,0.682959372869407,2.65583191950196,0.00791130351218516,1.47921515607311,1.22620789460054,0.220120451193815
"b_mileage_c",-0.479313678370542,0.118411791036424,-4.0478543072041,5.1689302714264e-05,0.301320919543154,-1.59070826910143,0.111675245098952
"b_age_c",-0.222520952960616,0.0555720617063048,-4.00418746629604,6.22310023754569e-05,0.0834731260261348,-2.6657795574943,0.00768100403409377
"b_operating_cost_c",-2.50601991454938,0.652524489694753,-3.84049940519732,0.000122784269851461,2.10044126594822,-1.19309211601214,0.232833298847155
"b_price_c",-1.22993974494275,0.249621937764464,-4.92721014810517,8.34120284842754e-07,0.472953521009142,-2.60055098504906,0.00930741873844299
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_count_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_a",0,NA,NA,NA,NA,NA,NA
"delta_b",0.134902257963607,0.207836006209227,0.649080303380166,0.51628647230761,0.339461883781696,0.397400310340471,0.691072286682121
"gamma_EV_benefit_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_veh_count_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_b",0,NA,NA,NA,NA,NA,NA
"delta_c",-2.16071690227192,0.320321532080006,-6.74546256144979,1.52540202691398e-11,0.780036151050823,-2.7700214911336,0.00560525940550605
"gamma_EV_benefit_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_hhincome_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_veh_count_c",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_c",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_c",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_c",0,NA,NA,NA,NA,NA,NA
