,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice_a,-6.51,0.88,-7.42,0.00,1.18,-5.51,0.00
b_powertrainbev_a,-3.57,0.95,-3.75,0.00,1.30,-2.74,0.01
b_powertrainhev_a,-2.81,0.38,-7.36,0.00,0.67,-4.20,0.00
b_range_bev_a,-0.87,0.84,-1.03,0.30,0.89,-0.99,0.32
b_mileage_a,-0.40,0.10,-4.14,0.00,0.15,-2.77,0.01
b_age_a,-0.06,0.05,-1.32,0.19,0.05,-1.10,0.27
b_operating_cost_a,-0.57,0.34,-1.67,0.10,0.44,-1.30,0.20
b_price_a,-1.60,0.24,-6.78,0.00,0.33,-4.82,0.00
b_no_choice_b,-5.24,0.49,-10.62,0.00,0.85,-6.19,0.00
b_powertrainbev_b,-0.48,0.29,-1.67,0.10,0.40,-1.20,0.23
b_powertrainhev_b,0.28,0.16,1.75,0.08,0.24,1.19,0.23
b_range_bev_b,0.35,0.15,2.32,0.02,0.19,1.84,0.07
b_mileage_b,-0.10,0.05,-2.15,0.03,0.07,-1.43,0.15
b_age_b,-0.11,0.02,-4.33,0.00,0.03,-3.39,0.00
b_operating_cost_b,-0.70,0.18,-3.94,0.00,0.22,-3.24,0.00
b_price_b,-0.94,0.11,-8.26,0.00,0.19,-4.92,0.00
b_no_choice_c,-9.22,0.95,-9.72,0.00,1.29,-7.14,0.00
b_powertrainbev_c,-6.23,1.43,-4.37,0.00,2.42,-2.58,0.01
b_powertrainhev_c,-0.29,0.23,-1.24,0.21,0.36,-0.80,0.42
b_range_bev_c,1.05,0.74,1.42,0.15,1.28,0.82,0.41
b_mileage_c,-0.31,0.08,-3.86,0.00,0.13,-2.31,0.02
b_age_c,-0.12,0.04,-3.07,0.00,0.06,-2.15,0.03
b_operating_cost_c,-1.58,0.33,-4.77,0.00,0.51,-3.12,0.00
b_price_c,-1.43,0.19,-7.43,0.00,0.31,-4.63,0.00
delta_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_benefit_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_anxiety_a,0.00,NA,NA,NA,NA,NA,NA
gamma_hhincome_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_charge_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_neighbor_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_ev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_subsidy_a,0.00,NA,NA,NA,NA,NA,NA
delta_b,-0.23,0.43,-0.54,0.59,0.53,-0.44,0.66
gamma_EV_benefit_b,1.38,0.27,5.16,0.00,0.29,4.80,0.00
gamma_EV_anxiety_b,-0.59,0.20,-3.01,0.00,0.21,-2.81,0.00
gamma_hhincome_b,0.04,0.05,0.78,0.43,0.05,0.78,0.43
gamma_ev_charge_b,0.53,0.53,1.00,0.32,0.60,0.90,0.37
gamma_ev_neighbor_b,1.21,0.62,1.95,0.05,0.68,1.78,0.08
gamma_knowledge_ev_b,0.02,0.47,0.03,0.97,0.51,0.03,0.97
gamma_knowledge_subsidy_b,1.02,0.72,1.43,0.15,0.89,1.15,0.25
delta_c,-0.22,0.43,-0.50,0.62,0.60,-0.36,0.72
gamma_EV_benefit_c,0.40,0.21,1.92,0.06,0.25,1.61,0.11
gamma_EV_anxiety_c,0.06,0.19,0.32,0.75,0.21,0.28,0.78
gamma_ev_charge_c,0.53,0.50,1.05,0.29,0.52,1.02,0.31
gamma_hhincome_c,0.11,0.05,2.24,0.03,0.05,2.11,0.03
gamma_ev_neighbor_c,0.66,0.63,1.04,0.30,0.67,0.98,0.33
gamma_knowledge_ev_c,-0.58,0.44,-1.34,0.18,0.51,-1.13,0.26
gamma_knowledge_subsidy_c,1.23,0.72,1.71,0.09,0.95,1.28,0.20
