"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.0259179595275,0.551616023126693,-9.11126172702414,0,0.746359996915267,-6.73390586352404,1.65167879373485e-11
"b_powertrainbev_a",-3.48431501826071,0.607507896792629,-5.73542341861948,9.72690350486971e-09,0.791141278416765,-4.40416283831572,1.06193157261014e-05
"b_powertrainhev_a",-1.87967710468082,0.241538810556947,-7.78209141771716,7.105427357601e-15,0.433173847822338,-4.33931345147077,1.42928536364106e-05
"b_range_bev_a",0.124521526903409,0.434855873584044,0.28635125904386,0.77460910192042,0.493315798018064,0.25241747254737,0.800718396164762
"b_mileage_a",-0.256732394572655,0.0594416140742823,-4.31906835927814,1.56689246506581e-05,0.0790202513795202,-3.24894429074409,0.00115834161163697
"b_age_a",-0.034564872560026,0.0324880893433003,-1.06392444919676,0.287362926247766,0.039331468519444,-0.878809611264283,0.379504514123436
"b_operating_cost_a",-0.328520760133935,0.245840158207265,-1.33631853530196,0.181445180675784,0.301997479700184,-1.08782616484112,0.276671856406678
"b_price_a",-1.37751991027031,0.174715255481422,-7.88437109555546,3.10862446895044e-15,0.287665320311525,-4.78862001432268,1.67932120609393e-06
"b_no_choice_b",-6.87880107432226,0.508716785438096,-13.5218677095516,0,0.936033222725568,-7.34888560289813,1.99840144432528e-13
"b_powertrainbev_b",-0.141014171607873,0.275060339142498,-0.512666319133777,0.608184753614809,0.504304389060884,-0.279621146804749,0.779768181237494
"b_powertrainhev_b",0.760024199070255,0.171518605571497,4.43114725972654,9.3733047170641e-06,0.335912046950112,2.26256904439968,0.0236622681654048
"b_range_bev_b",0.616562147169713,0.153166223725168,4.02544459329384,5.68677696921593e-05,0.260752426995591,2.36454998434257,0.0180519911768704
"b_mileage_b",-0.18923820206388,0.0435662782680524,-4.34368529025006,1.4011219533927e-05,0.0790422452541649,-2.39414001279156,0.0166593879741508
"b_age_b",-0.0874824599254016,0.0224509140371266,-3.8966101683314,9.75484447016672e-05,0.0276767767853763,-3.16086156288348,0.00157303241308648
"b_operating_cost_b",-0.989707194826352,0.167230234389135,-5.91823122440503,3.25422266911346e-09,0.215865657793754,-4.58482930977355,4.54357458634647e-06
"b_price_b",-1.45797835096058,0.12919872073615,-11.2847738944573,0,0.230144151076887,-6.33506584520368,2.37240005418471e-10
"b_no_choice_c",-8.78721648831129,0.718760006705982,-12.2255222971884,0,1.06790594726453,-8.22845542795219,2.22044604925031e-16
"b_powertrainbev_c",-5.79344832660331,1.45628644739943,-3.97823404657029,6.94290125562436e-05,3.92629557050887,-1.47555073798289,0.140064537968962
"b_powertrainhev_c",-0.0744068067923594,0.195829314195122,-0.379957449670795,0.703977000846525,0.320192269135628,-0.232381646793733,0.816241602533753
"b_range_bev_c",1.4883747389172,0.563749652712124,2.64013420098236,0.00828732033787105,1.44592119188837,1.0293608996583,0.303310115616063
"b_mileage_c",-0.347647042935023,0.0542735006910556,-6.4054656233427,1.49911194569086e-10,0.0683114593508811,-5.08914677330106,3.59678153483145e-07
"b_age_c",-0.148566518758933,0.0351561892152775,-4.22589939567091,2.37988306628356e-05,0.0611316500380614,-2.43027169504559,0.0150875080640522
"b_operating_cost_c",-1.30002843189489,0.233400484929823,-5.56994743299603,2.54816203693053e-08,0.363462711068892,-3.57678626253487,0.000347844360077065
"b_price_c",-1.18756215017527,0.143384409823539,-8.28236592553393,2.22044604925031e-16,0.261172837086135,-4.54703545523614,5.44068355967653e-06
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_count_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.30879757628383,0.196553070103753,-1.57106462962307,0.116167637385848,0.376255749860521,-0.820711913102465,0.411810383405277
"gamma_EV_benefit_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_veh_count_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_b",0,NA,NA,NA,NA,NA,NA
"delta_c",-1.498846183426,0.272656693903761,-5.4971919521442,3.85886589349127e-08,0.560418145798268,-2.67451401183846,0.00748376488266134
"gamma_EV_benefit_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_hhincome_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_veh_count_c",0,NA,NA,NA,NA,NA,NA
"gamma_veh_has_bev_c",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_c",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_c",0,NA,NA,NA,NA,NA,NA
