"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.64434304355909,0.403726179341073,-11.5036955273477,0,0.499682819811019,-9.29458220179672,0
"b_powertrainbev_a",-8.71149872624648,2.02650933602658,-4.29877058613868,1.71748132207217e-05,1.95894872443406,-4.44702743751665,8.70667206331888e-06
"b_powertrainphev_a",-3.31639760392033,0.450237407539021,-7.36588641545273,1.7608137170555e-13,0.420695104244282,-7.88313809802412,3.10862446895044e-15
"b_powertrainhev_a",-1.26081651450175,0.153673328166651,-8.20452403513026,2.22044604925031e-16,0.230358104107501,-5.47328916161494,4.41758394309488e-08
"b_range_bev_a",2.2554409497177,0.848433233230455,2.65835997622346,0.00785219724187614,0.777668575376478,2.90025985507492,0.00372853417462826
"b_range_phev_a",0.0809062109352362,0.151026168919823,0.535709880704104,0.59215907377677,0.131910404739958,0.61334214760944,0.539650130232707
"b_mileage_a",-0.266600663134953,0.0484424857583849,-5.50344721087744,3.72436084195016e-08,0.0565413613051722,-4.71514404642686,2.4153980842101e-06
"b_age_a",-0.134887322473493,0.021511469773275,-6.27048378819154,3.59928087334538e-10,0.0236222383782199,-5.71018378164626,1.12854239286975e-08
"b_operating_cost_a",-0.0480499079538724,0.0174872589545467,-2.74770952261671,0.00600131510333957,0.0200156180092629,-2.40062075183667,0.0163672896595062
"b_price_a",-0.484511678207851,0.0615798469686716,-7.86802342094717,3.5527136788005e-15,0.0858553002709392,-5.64335197336502,1.66770917076065e-08
"b_no_choice_b",-5.26198470097936,0.44134679663491,-11.9225623502875,0,0.577292073052436,-9.11494362490824,0
"b_powertrainbev_b",-0.211975757749917,0.224994503915612,-0.942137492520358,0.346122251304494,0.275709302396407,-0.768837887976462,0.441989553709274
"b_powertrainphev_b",0.160903814106223,0.226552832918286,0.71022644931683,0.477563721589983,0.245767274981234,0.654699915269471,0.512660979826056
"b_powertrainhev_b",0.632342975571385,0.119477486522322,5.29257012326959,1.20609199072419e-07,0.125838933348729,5.02501855939143,5.03383853045491e-07
"b_range_bev_b",0.152591163534261,0.111120085348133,1.37320956023568,0.169687208478118,0.123013471986656,1.24044270168078,0.214811694999722
"b_range_phev_b",-0.0539279059066721,0.0728585355794158,-0.740172794824988,0.459195152836811,0.0696091010813557,-0.77472492919631,0.438502217001206
"b_mileage_b",-0.142480057771725,0.0313083437947508,-4.55086537652029,5.34257245599079e-06,0.0322463064681198,-4.41849232911644,9.93918072089706e-06
"b_age_b",-0.110672854468091,0.0149506334474568,-7.40255286553874,1.33670852164869e-13,0.0165233670434552,-6.69796017827538,2.11348716305793e-11
"b_operating_cost_b",-0.0489111967202049,0.01172239247335,-4.17245855156283,3.01330427883162e-05,0.013417878977973,-3.64522565753488,0.000267157277427987
"b_price_b",-0.483067748742139,0.0888100750700954,-5.43933498942397,5.34798154649962e-08,0.110752246943842,-4.36169704969581,1.29057489262063e-05
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-1.77763624817874,0.366413605755648,-4.85144716313893,1.22563863302894e-06,0.400300620403376,-4.44075316792527,8.96445722320394e-06
"gamma_used_bev_b",0.835504100441212,0.14166017660358,5.89794620106452,3.68053920674072e-09,0.148611761221796,5.62205907239239,1.88694713187942e-08
"gamma_EV_benefit_b",0.694532578169909,0.177760690977081,3.90712127834526,9.34022783343202e-05,0.173985808680108,3.99189211717194,6.55481932165802e-05
"gamma_EV_anxiety_b",-0.27023678015811,0.13773042275663,-1.96207035997863,0.0497542932022044,0.157269542341545,-1.71830334173182,0.0857413001678544
